2026-06-29 15:53:49.651 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:53:49.652 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 24 при шансах 65/100
2026-06-29 15:53:50.133 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:50.134 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 55 при шансах 35/100
2026-06-29 15:53:50.134 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:53:50.134 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 79 при шансах 65/100
2026-06-29 15:53:50.306 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:50.306 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 42 при шансах 35/100
2026-06-29 15:53:50.306 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:53:50.306 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 75 при шансах 65/100
2026-06-29 15:53:50.493 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:53:50.493 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 3 при шансах 35/100
2026-06-29 15:53:50.493 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 54
2026-06-29 15:53:50.493 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет -41.0
2026-06-29 15:53:50.493 [main] INFO  rogue.model.domain.entities.characters.Player - Монстр убит class rogue.model.domain.entities.characters.communicators.Guide
2026-06-29 15:53:50.493 [main] INFO  rogue.model.domain.entities.characters.Player - Поднято 8 золота
2026-06-29 15:53:53.144 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Свиток календарных открытий
2026-06-29 15:54:07.891 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 55 при шансах 15/100
2026-06-29 15:54:08.195 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:08.195 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 75 при шансах 84/100
2026-06-29 15:54:08.195 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 82
